AAA	Ansett Australia - Australia	ANSETT
ERA	Eurocommander, S.A. - Spain	EUROCOMMANDER
ERC	Esso Resources Canada - Canada	ESSO
ERE	Erie Airways - United States	AIR ERIE
ERF	Erfoto - Portugal	ERFOTO
ERG	Avianergo - Russia	AVIANERGO
ERH	Era Helicopters - United States	ERAH
ERI	Aero Servicios Regiomontanos - Mexico	ASERGIO
ERJ	Eurojet Italia - Italy	JET ITALIA
ERK	Aerosec - Chile	AEROSEC
ERL	Euralair International - France	EURALAIR EXECUTIVE
ERM	Aeromaan - Mexico	EOMAAN
ERN	Aerolinair - France	BLUE HAWK
ERO	Sun D'Or - Israel	ECHO ROMEO
ERS	Red Sea Air - Eritrea	ERITREAN REDSEA
ERT	Eritrean Airlines - Eritrea	ERITREAN
ERV	Yerevan-Avia - Armenia	YEREVAN-AVIA
ERX	Earth Airlines Services - Nigeria	EARTH AIR
ESA	Eurostar-Aviation VA	EUROSTAR
ESB	Aerosaba - Mexico	AEROSABA
ESC	El Sol De America - Venezuela	SOLAMERICA
ESD	Esen Air - KG	ESEN AIR
ESE	Ensenada Vuelos Especiales - Mexico	ENSENADA ESPECIAL
ESF	Estafeta Carga Aerea - Mexico	UNKNOWN
ESH	Aeroshell - EC	AEROSHELL
ESI	ESI Eliservizi Italiani - Italy	ELISERVIZI
ESJ	Eastern Sky Jets - United Arab Emirates	EASTERN SKYJETS
ESK	SkyEurope - Slovakia	RELAX
ESL	Eastline VA	EASTLINE
ESN	Euro Sun - Turkey	EURO SUN
ESO	Avitat - United Kingdom	UNKNOWN
ESP	Espeair - Czech Republic	ESPEAIR
ESR	Excelsior Airlines Limited - Ghana	EXCELSIOR
ESS	Eos Airlines - United States	NEW DAWN
EST	Carga Express Internacional - Mexico	CARGAINTER
ESU	Aerolineas Ejecutivas Del Sureste - Mexico	ALESUR
ESX	Euroskylink - United Kingdom	CATFISH
ESZ	Aeronautica Le Esperanza - Mexico	ESPERANZA
ETA	Estrellas Del Aire - Mexico	ESTRELLAS
ETC	ATTICO - Sudan	TRANATTICO
ETD	Etihad Airways - United Arab Emirates	ETIHAD
ETE	Aero Siete - Mexico	AEROSIETE
ETH	Ethiopian Airlines - Ethiopia	ETHIOPIAN
ETI	Elitaliana S.p.A. - Italy	ELITALIANA
ETL	Patterson Aviation Company - United States	ENTEL
ETM	Etram Air Wing - Angola	ETRAM
ETN	Chim-Nir Aviation - Israel	CHMINIR
ETP	Empire Test Pilots' School - United Kingdom	TESTER
ETR	Eccentric Travels - Brazil	ECCENTRIC
ETS	Flygtransporter I Nykoping - Sweden	EXTRANS
ETV	European Executive - United Kingdom	EURO EXEC
ETW	Eagle Trans Asia Airways - PH	EAGLE TRANS
EUC	Eurocontrol - Belgium	UNKNOWN
EUD	Euro Mediterranean Airlines - EG	UNKNOWN
EUG	Euroguineana de Aviacion - Equatorial Guinea	EUROGUINEA
EUH	Euralair Horizons - France	EURALAIR HORIZONS
EUI	Euravia - Spain	EURAVIA
EUJ	EUjet - Ireland	UNION JET
EUK	Air Atlanta Europe - United Kingdom	SNOWBIRD
EUL	Euro-Asia Aviation Co. Ltd. - Lao People's Democratic Republ	EUROLAO
EUP	Europe Airlines - Belgium	EUROPE
EUR	Eurojet, S.A. - Spain	EUROJET
EUS	Eurasia Aircompany, JSC - Russian Federation	EURASIA
EUT	Eurotransit Virtual - United Kingdom	GOFREE
EUU	Euroamerican Air - Uruguay	EUROAMERICAN
EUV	Eurotravel VA - Italy	EUROPA
EUX	EuropeanExpress Virtual Airlines - Hungary	EUROPEAN
EUY	EU Airways - Ireland	EUROAIRWAYS
EVA	EVA Air - Taiwan	EVA
EVE	Air Evex - Germany	SUNBEAM
EVJ	E-Jet - GY	EVERJET
EVM	Natural Environment Research Council - United Kingdom	SCIENCE
EVN	Euraviation - Italy	EURAVIATION
EVR	Aeronautical Academy of Europe - Portugal	DIANA
EVS	Elvis Airlines - Italy	ELVIS
EWA	East-West Airlines - Australia	EASTWEST
EWG	Eurowings - Germany	EUROWINGS
EWS	Enterprise World Airways - Democratic Republic of the Congo	WORLD ENTERPRISE
EWW	Emery Worldwide Airlines - United States	EMERY
EWZ	East Wing - KZ	E-WING
EXA	Execair Aviation - Canada	CANADIAN EXECAIRE
EXB	Brazilian Army Aviation - Brazil	BRAZILIAN ARMY
EXC	European Executive Express - Sweden	ECHO EXPRESS
EXE	Executive Flight - United States	EXEC
EXF	Eximflight - Mexico	EXIMFLIGHT
EXG	Air Exchange - United States	EXCHANGE
EXH	G5 Executive - Germany	BATMAN
EXI	Excel Air Services, Inc. - Liberia	EXCEL AIR
EXJ	Executive Jet Charter - United Kingdom	UNKNOWN
EXK	Executive Airlines - United States	EXECUTIVE EAGLE
EXL	Sunshine Express Airlines - Australia	UNKNOWN
EXM	United Kingdom Civil Aviation Authority - United Kingdom	EXAM
EXN	Exin - Poland	EXIN
EXP	Business Express Delivery - Canada	EXPRESS AIR
EXR	Expertos En Carga - Mexico	EXPERTOS ENCARGA
EXS	Jet2.com - United Kingdom	CHANNEX
EXT	Night Express - Germany	EXECUTIVE
EXU	Executive Airlines - Spain	SACAIR
EXV	Expo Aviation - Sri Lanka	EXPOAVIA
EXW	Executive Airlines Services - Nigeria	ECHOLINE
EXX	International Air Corporation - United States	EXPRESS INTERNATIONAL
EXY	South African Express - South Africa	EXPRESSWAYS
EXZ	East African Safari Air Express - Kenya	TWIGA
EYE	F.S. Air Service - United States	SOCKEYE
EYS	Flygtransporter Nykoping AB - Sweden	EXTRANS
EZA	Eznis Airways - MN	EZNIS
EZB	Flugschule Eichenberger - Switzerland	EICHENBURGER
EZE	Eastern Airways - United Kingdom	EASTFLIGHT
EZS	easyJet Switzerland - CH	TOPSWISS
EZY	easyJet - United Kingdom	EASY
FAA	Federal Aviation Adminsitration - US	FEDERAL AVIATION ADMINSITRATION
FAB	First Air - Canada	UNKNOWN
FAC	Atlantic Helicopters - Denmark	FAROECOPTER
FAD	Rog-Air - Canada	AIR FRONTIER
FAE	Freshaer - United Kingdom	WILDGOOSE
FAF	Force Aerienne Francaise - France	FRENCH AIR FORCE
FAG	Argentine Air Force - Argentina	FUAER
FAH	Farnair Hungary - Hungary	BLUE STRIP
FAI	Falcon Air, Inc. - United States of America	MOTOR-CITY
FAJ	Air Fiji - Fiji	FIJIAIR
FAK	Financial Airxpress - United States	FACTS
FAL	Friendship Air Alaska - United States	FRIENDSHIP
FAM	Fumigacion Aerea Andaluza - Spain	FAASA
FAN	AF-Air International - Angola	FANBIRD
FAO	Falcon Air Express - United States	PANTHER
FAP	Parsons Airways Northern - Canada	UNKNOWN
FAR	Falcon Air - Slovenia	FALCAIR
FAS	Freedom Airways - Cyprus	FREEDOM AIRWAYS
FAT	Farnair Switzerland - Switzerland	FARNER
FAU	Falcon Airline - Nigeria	FALCON AIRLINE
FAV	Fair Aviation - South Africa	FAIRAVIA
FAW	Falwell Aviation - United States	FALWELL
FAX	Midwest Air Freighters - United States	FAIRFAX
FAY	Fayban Air Services - Nigeria	FAYBAN AIR
FAZ	Flint Aviation Services - United States	FLINT AIR
FBA	Fab Air - Kyrgyzstan	FAB AIR
FBF	Fine Airlines - United States	FINE AIR
FBL	Food Brokers Ltd. - United Kingdom	FOOD
FBN	Afrique Airlines - Benin	AFRIQUE-BENIN
FBO	TAG Farnborough Airport - United Kingdom	UNKNOWN
FBW	Aviation Data Systems - United States	UNKNOWN
FCA	First Choice Airways - United Kingdom	JETSET
FCC	First Cambodia Airlines - Cambodia	FIRST CAMBODIA
FCE	Flycolumbia - Spain	FLYCOLUMBIA
FCI	Air Carriers - United States	FAST CHECK
FCJ	Fairflight Corporate Jets - United Kingdom	FAIRFLIGHT
FCK	Flight Calibration Service - Germany	NAV CHECKER
FCL	Florida Coastal Airlines - United States	FLORIDA COASTAL
FCM	Flying Cargo Private Limited - Maldives	ATOLL CARGO
FCN	Falcon Air - Sweden	FALCON
FCO	Aerofrisco - Mexico	AEROFRISCO
FCP	Flight Corporation - New Zealand	FLIGHTCORP
FCR	Flying Carpet Company - Lebanon	FLYING CARPET
FCS	Facts Air - Mexico	MEXFACTS
FCT	Fly CI Limited - United Kingdom	DEALER
FCU	Alfa 4 - Mexico	UNKNOWN
FCV	Flight Centre Victoria - Canada	NAVAIR
FCY	CyberAvia - France	CYBERAVIA
FDA	African Airlines - Mali	AIR SANKORE
FDE	Federico II Airways, S.p.A. - Italy	FEDEREAGLE
FDF	IVV Femida - Russia	UNKNOWN
FDL	Farmingdale State University - United States	FARMINGDALE STATE
FDM	Freedom Airlines, Inc. - United States of America	LIBERTY
FDN	Flying Dolphin Airlines - United Arab Emirates	FLYING DOLPHIN
FDO	France Douanes - France	FRENCH CUSTOM
FDP	Flight Dispatch Services - Poland	UNKNOWN
FDR	Federal Air - South Africa	FEDAIR
FDS	Flight Deck Solutions - Canada	FLIGHTDECK
FDX	Federal Express - United States	FEDEX
FEA	Far Eastern Air Transport - TW	FAR EASTERN
FEC	Denver Express - United States	FALCON EXPRESS
FED	Lineas Aereas Federales - Argentina	FEDERALES
FEE	Fairytale Airways - Germany	FAIRY
FEI	Eagle Air Iceland - Iceland	ARCTIC EAGLE
FEM	Flywell Airlines Private Limited - Zimbabwe	FLYWELL
FEO	Aeroferinco - Mexico	FERINCO
FER	Feria Aviacion - Spain	FERIA
FES	Aero Taxis Y Servicios Alfe - Mexico	AERO ALFE
FEX	Flightexec - Canada	FLIGHTEXEC
FFA	Avialesookhrana - Russia	AVIALESOOKHRANA
FFB	Africair Service - Senegal	FOXTROT FOXTROT
FFC	Fairoaks Flight Centre - United Kingdom	FAIROAKS
FFD	Stuttgarter Flugdienst - Germany	FIRST FLIGHT
FFF	Freedom Air Services - Nigeria	INTER FREEDOM
FFG	Flugdienst Fehlhaber - Germany	WITCHCRAFT
FFH	Shalom Air Services - Nigeria	PEACE AIR
FFI	Infinit Air - Spain	INFINIT
FFL	Intavia Limited - United Kingdom	UNKNOWN
FFM	Firefly - Malaysia	FIREFLY
FFP	Fischer Air Polska - Poland	FLYING FISH
FFR	Fischer Air - Czech Republic	FISCHER
FFS	Florida Department of Agriculture - United States	FORESTRY
FFT	Frontier Airlines - United States	FRONTIER FLIGHT
FFU	GEC Marconi Avionics - United Kingdom	FERRANTI
FFV	Five Forty Aviation - Fly540 - KE	SWIFT TANGO 
FFW	Flying Finn Airways Oy - Finland	FLY FINN
FFY	Fun Flying Thai Air Service - Thailand	FUN FLYING
FGA	Georgian Aviation Federation - Georgia	GEORGIA FED
FGC	Departmento De Agricultura De La Generalitat De Cataluna - Spain	FORESTALES
FGE	FlyGeo	FlyGeo
FGH	Air Afghan International Air Lines - AF	AIR AFGHAN
FGL	Futura Gael - Ireland	Applewood
FGN	Gendarmie Nationale - France	FRANCE GENDARME
FGP	Flying-Research Aerogeophysical Center - Russia	FLYING CENTER
FGS	Elitellina - Italy	ELITELLINA
FGT	Aero Freight - Mexico	FREIAERO
FGY	Froggy Corporate Aviation - Australia	UNKNOWN
FHA	HA-Volnet - France	FHA
FHE	Hello - Switzerland	FLYHELLO
FHL	Fast Helicopters - United Kingdom	FINDON
FHS	Forth and Clyde Helicopter Services - United Kingdom	HELISCOT
FHY	Free Bird Airlines - Turkey	FREE BIRD
FIA	Four Island Air - Antigua and Barbuda	ISLANDAIR
FIB	Freeway Iberica, S.A. - Spain	FREE IBERICA
FIC	Aerosafin - Mexico	AEROSAFIN
FIF	Air Finland - Finland	AIR FINLAND
FII	Aerodata Flight Inspection - Germany	FLIGHT CHECKER
FIL	Fly Line - Spain	FLYLINE
FIN	Finnair - Finland	FINNAIR
FIR	Virtual United States Fire Administration - USA	FIREBIRD
FIT	Finalair S.A. - Togo	FINALAIR
FIV	Citationshares - United States	FIVE STAR
FIX	Airfix Aviation - Finland	AIRFIX
FJC	Falcon Jet Centre - United Kingdom	FALCONJET
FJE	Silverjet - United Kingdom	ENVOY
FJI	Air Pacific - Fiji	PACIFIC
FJS	Florida Jet Service - United States	FLORIDAJET
FJT	Fly Jet - Italy	FLY JET
FKI	FLM Aviation Mohrdieck - Germany	KIEL AIR
FKL	Kelner Airways - Canada	KELNER
FKS	Focus Air - United States	FOCUS
FKY	FreeSky Aviation - Hungary	FREESKY
FLA	Midway Express - United States	PALM
FLB	Fly S.A. Linhas Aereas - Brazil	AEREAFLY
FLC	FINFO Flight Inspection Aircraft - United States	FLIGHT CHECK
FLD	Air Falcon - Pakistan	UNKNOWN
FLE	Flair Airlines - Canada	FLAIR
FLF	Friendship Airlines - Uganda	FRIEND AIR
FLG	Pinnacle Airlines - United States	FLAGSHIP
FLH	Sky Bus - United States	MILE HIGH
FLI	Atlantic Airways - Faroe Islands	FAROELINE
FLJ	Flynor Jet S.p.A. - Italy	FLYNOR JET
FLK	Flylink Express - Spain	FLYLINK
FLL	Federal Airlines - Sweden	FEDERAL AIRLINES
FLM	Fly Air - Turkey	FLY WORLD
FLN	Flamingo Air-Line - Kazakhstan	ILIAS
FLO	Flycom - Slovenia	FLYCOM
FLP	Aeroclub Flaps - Spain	AEROCLUB FLAPS
FLR	Fleetair - South Africa	FLEETAIR
FLS	Fairlines - Netherlands	FAIRLINE
FLT	Flightline - United Kingdom	FLIGHTLINE
FLU	Flugschule Basel - Switzerland	YELLOW FLYER
FLV	Flight, Joint-Stock Company - Russian Federation	BELOUGA
FLW	FLowair Aviation - France	QUICKFLOW
FLX	Flight Express - United States	FLIGHT EXPRESS
FLY	flyWay - USA	FLY
FLZ	Air Florida - United States	AIR FLORIDA
FMC	Claessens International Limited - United Kingdom	CLAESSENS
FMG	FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt - Germany	HUSKY
FMR	Flamingo Air - United States	FLAMINGO AIR
FMS	Hadison Aviation - United States	HADI
FMT	FRANCE METEOR - France	FMT
FMY	Aviation Legere De L'Armee De Terre - France	FRENCH ARMY
FNA	Fennec - Niger	FENNEC
FNC	Finalair Congo - Republic of the Congo	FINALAIR CONGO
FNE	Farnair Europe B.V. - Netherlands	FARNAIR EUROPE
FNF	Finnish Air Force - Finland	FINNFORCE
FNG	Frontier Guard - Finland	FINNGUARD
FNK	Feniks Airline - Kazakhstan	AURIKA
FNL	Oulun Tilauslento - Finland	FINN FLIGHT
FNM	Avio Nord - Italy	UNKNOWN
FNO	Aeroflota Del Noroeste - Spain	RIAZOR
FNT	L-3 Communications Flight Internation Aviation - United States	FLIGHT INTERNATIONAL
FNV	Transaviaservice - Georgia	TRANSAVIASERVICE
FNX	Aero Fenix - France	AERO FENIX
FNY	France Marine Nationale - France	FRENCH NAVY
FOB	Ford Motor Company - United Kingdom	FORDAIR
FOC	Office Federal De'Aviation Civile - Switzerland	FOCA
FOI	Flight Ops International - United States	UNKNOWN
FOM	Freedom Air - New Zealand	FREE AIR
FON	Aer Sicilia S.R.L. - Italy	FONTANAIR
FOP	Fokker - Netherlands	UNKNOWN
FOR	Formula One Management - United Kingdom	FORMULA
FOS	Bel Limited - Russia	UNKNOWN
FOT	Aviat - Aviacion y Trabajos Aereos - ES	AVIFOTO
FPA	Flygprestanda - Sweden	UNKNOWN
FPC	Lillbacka Jetair Oy - Finland	FINNPOWER
FPG	TAG Aviation - Switzerland	TAG AVIATION
FPO	Europe Airpost - France	FRENCH POST
FPR	Peruvian Air Force - Peru	UNKNOWN
FPS	Flightpass Limited - United Kingdom	FLIGHTPASS
FPY	African Company Airlines - Democratic Republic of the Congo	AFRICOMPANY
FRA	FR Aviation - United Kingdom	RUSHTON
FRC	Icare Franche Compte - France	FRANCHE COMPTE
FRD	Ford Motor Company - United States	FORD
FRE	Freedom Air - United States	FREEDOM
FRF	Fleet Air International - HU	FAIRFLEET
FRG	Freight Runners Express - United States	FREIGHT RUNNERS
FRI	Fair, Inc. - Japan	FAIR
FRJ	Afrijet Airlines - Nigeria	AFRIJET
FRK	Afrika Aviation Handlers - Kenya	AFRIFAST
FRL	Freedom Airlines - United States	FREEDOM AIR
FRM	Federal Armored Service - United States	FEDARM
FRN	Farnair Netherlands - Netherlands	FARNED
FRQ	Afrique Chart'air - Cameroon	CHARTER AFRIQUE
FRR	Fresh Air - Nigeria	FRESH AIR
FRT	Aerofreight Airlines - Russia	UNKNOWN
FRU	Transportadora Fruyleg, S.A. de C.V. - Mexico	FRUYLEG
FRW	Farwest Airlines - United States	FARWEST
FRY	Freeair	Freeair
FSA	FSAero Club - France	FSA
FSB	FSB Flugservice & Development - Germany	SEABIRD
FSC	Four Star Aviation / Four Star Cargo - United States	FOUR STAR
FSD	EFS-Flugservice - Germany	FLUGSERVICE
FSE	Five stars - Poland	FIVE STARS
FSH	Flash Airlines - Egypt	FLASH
FSL	Flight Safety Limited - United Kingdom	FLIGHTSAFETY
FSM	Flyingsim - Netherlands	FLYINGSIM
FSR	Flightstar Corporation - United States	FLIGHTSTAR
FST	Aereos Limited - United Kingdom	FAST TRACK
FSU	Flight Support Sweden - Sweden	UNKNOWN
FSW	Faso Airways - Burkina Faso	FASO
FSX	Flagship Express Services - United States	FLAG
FTA	Frontier Flying Service - United States	FRONTIER-AIR
FTC	Air Affaires Tchad - Chad	AFFAIRES TCHAD
FTE	Fotografia F3 - Spain	FOTOGRAFIA
FTL	Flightline - Spain	FLIGHT-AVIA
FTM	Flyteam Aviation - United Kingdom	FLYTEAM
FTP	Keystone Aerial Surveys - United States	FOOTPRINT
FTR	Finist'air - France	FINISTAIR
FTS	First Sabre - Mexico	FIRST SABRE
FTY	ABC Bedarsflug - Austria	FLY TYROL
FUA	Futura International Airways - Spain	FUTURA
FUE	Aviastar - Russian Federation	AVIASTAR-VOLGA
FUJ	Fujairah Aviation Centre - United Arab Emirates	FUJAIRAH
FUN	Funtshi Aviation Service - Democratic Republic of the Congo	FUNTSHI
FUP	Foxair GmbH - Germany	FOX AIR
FUT	Aereo Futuro - MX	AEREO FUTURO
FVA	Cardinal/Air Virginia - United States	AIR VIRGINIA
FVS	Falcon Aviation Services - United Arab Emirates	FALCON AVIATION
FWA	Interstate Airline - Netherlands	FREEWAYAIR
FWC	Freeway Air - Netherlands	FREEWAY
FWD	Fair Wind Air Charter - United Arab Emirates	FAIR WIND
FWI	Air Caraïbes - France	FRENCH WEST
FWK	Flightworks - US	FLIGHTWORKS
FWL	Florida West International Airways - United States	FLO WEST
FWQ	Flight West Airlines - Australia	UNKNOWN
FWY	Fairways Corporation - United States	FAIRWAYS
FWZ	Flugwerkzeuge Aviation Software - Austria	UNKNOWN
FXA	Express Air - United States	EFFEX
FXC	Fortunair Canada - Canada	AIR FUTURE
FXF	VIP Air Charter - United States	FOX FLIGHT
FXI	Air Iceland - Iceland	FAXI
FXJ	Flexjet Operations A/S - Denmark	EUROFLEX
FXL	Fly Excellent - Sweden	FLY EXCELLENT
FXP	FlightXPress Virtual Airline - Austria	FLIGHTXPRESS
FXR	Foxair - Italy	WILDFOX
FXT	Flexflight - Denmark	UNKNOWN
FXW	Mosquito	Mosquito
FXY	Flexair - Netherlands	FLEXY
FYA	Servicios Aereos Integrales / Flyant - Spain	FLYANT
FYE	Easy Link Aviation Services - Nigeria	FLYME
FYG	Flying Service - Belgium	FLYING GROUP
FYH	Flyhy Cargo Airlines - Thailand	FLY HIGH
FYN	Comfort Air - Germany	FLYNN
FYS	American Flyers - United States	AMERICAN FLYERS
GAA	Business Express - United States	BIZEX
GAB	Gendall Air - Canada	GENDALL
GAC	General Air Cargo G.A.C. - Venezuela	GENERAL CARGO
GAD	South Coast Aviation - United Kingdom	SOUTHCOAST
GAE	German Air Express - Germany	EXPRESS
GAF	German Air Force - Germany	GERMAN AIR FORCE
GAG	Global Air Operations - Comoros	GLOBAL AIRGROUP
GAH	Ga-Ma Helicoptere - France	GAMHELICO
GAI	G-AIRWAYS - Germany	GAI
GAK	Global Aviation and Services Group - Libya	AVIAGROUP
GAL	German Airlines - Germany	GERMAN AIRLINES
GAM	German Army - Germany	GERMAN ARMY
GAN	Gander Aviation - Canada	GANAIR
GAO	Golden Air - Sweden	GOLDEN
GAP	Air Philippines - Philippines	ORIENT PACIFIC
GAQ	Golfe Air Quebec - Canada	GOLFAIR
GAR	Commodore Aviation - Australia	UNKNOWN
GAS	Galena Air Service - United States	GALENA AIR SERVICE
GAT	Gulf Air Inc - United States	GULF TRANS
GAU	Aerogaucho - Uruguay	AEROGAUCHO
GAV	GoAirUK - UK	GOAIR
GAW	Gambia Airways - The Gambia	GEE-LINE
GAX	Full Express - United States	GRAND AIRE
GBA	Gulf Air Bahrain - Bahrain	GULF BAHRAIN
GBB	Global Aviation Operations - South Africa	GLOBE
GBC	Globe Air Cargo - Antigua and Barbuda	GLOBE CARGO
GBE	Gabon Express - Gabon	GABEX
GBF	North Air LLC - Kazakhstan	GICON
GBH	Global Helicoptere	GLOBAL HELICO
GBJ	Aero Business Charter - Germany	GLOBAL JET
GBK	Gabon Airlines - GA	GABON AIRLINES
GBL	GB Airways - United Kingdom	GEEBEE AIRWAYS
GBM	Beriev Aircraft Company - RU	BERIEV COMPANY
GBN	Atlantic Airlines - Gabon	ATLANTIC GABON
GBO	Ogooue Air Cargo - Gabon	UNKNOWN
GBP	German Butterfly - Germany	BUTTERFLY
GBR	Rader Aviation - United States	GREENBRIER AIR
GBS	Global Air Services Nigeria - Nigeria	GLOBAL SERVE
GBT	German Broeseltours - Germany	BROESELTOURS
GBU	Transports A‚riens de La Guinee-Bissau - Guinea Bissau	TRANSBISSAU
GBX	GB Airlink - United States	ISLAND TIGER
GCA	Grand Cargo Airlines - Poland	GRAND CARGO
GCB	Lignes Nationales Aeriennes - Linacongo - Republic of the Congo	LINACONGO
GCC	GECAS - Ireland	GECAS
GCE	Air Europa Canarias Lineas Aereas S.A.U. - Spain	EUROPA CANARIAS
GCF	Aeronor - Spain	AEROCARTO
GCK	Aerogem Cargo - Ghana	AEROGEM
GCL	Greenclose Aviation Services Ltd. - United Kingdom	GREENCLOSE
GCN	Gulf Central Airlines - United States	GULF CENTRAL
GCO	Gemini Air Cargo - United States	GEMINI
GCR	Grand China Express - CN	CHINA DRAGON
GCS	GCS Air Service - United States	GALION
GCV	G-1 RT - Hungary	GEE-BIRD
GDA	GoldAir - United Kingdom	AIR PARTNER
GDB	Gendarmerie Belge - Belgium	BELGIAN GENERMERIE
GDC	Grand China Air - CN	GRAND CHINA
GDD	Golden Airlines - United States	GOLDEN AIRLINES
GDE	Servicios Aereos Gadel - Mexico	GADEL
GDG	S.P. Aviation - United States	GOLDEN GATE
GDH	Guneydogu Havacilik Isletmesi - Turkey	RISING SUN
GDK	Goldeck-Flug - Austria	GOLDECK FLUG
GDM	Eas Aeroservizi - Italy	AEROSERVIZI
GDN	Gerry's Dnata - Pakistan	UNKNOWN
GDQ	Lincoln Air National Guard - United States	UNKNOWN
GDR	GVG Airlines Company - Kazakhstan	VALIKO
GDT	Gold Traveler - Poland	GOLD TRAVELER
GDX	Global Aircraft Delivery - US	GLOBAL AIRCRAFT DELIVERY
GEA	Guinea Ecuatorial Airlines - Equatorial Guinea	GEASA
GEB	Gee Bee Air - Greece	GOLF-BRAVO AIR
GEC	Lufthansa Cargo - Germany	LUFTHANSA CARGO
GED	Europe Air Lines - France	LANGUEDOC
GEE	Geesair - Canada	GEESAIR
GEN	GENSA - Brazil	GENSA-BRASIL
GEO	Georgian Air - Georgia	TBILISI
GES	Gestair - Spain	GESTAIR
GET	GETRA - Equatorial Guinea	GETRA
GEV	Gestavi, S.L. - Spain	GESTAVI
GEW	German Airways VA - Germany	BLUEFLIGHT
GEX	Transgulf Express F.Z.C. - United Arab Emirates	GLUFEXPRESS
GFA	Gulf Air - Oman	GULF AIR
GFC	Gail Force Express - United States	GAIL FORCE
GFD	Gesekkschaft Fur Flugzieldarstellung - Germany	KITE
GFF	Griffin Aviation - Cyprus	GRIFFIN AIR
GFG	Georgian National Airlines - Georgia	NATIONAL
GFI	Group Flight - United Kingdom	GROUP FLIGHT
GFL	Green Forest Lumber Ltd. - Canada	GREEN FOREST
GFN	The 955 Preservation Group - United Kingdom	GRIFFON
GFO	Aerovias del Golfo - Mexico	AEROVIAS GOLFO
GFR	Avia-Pusk - Kazakhstan	APUSK
GFS	Group Flight - United Kingdom	GROUP FLIGHT
GFT	Group Flight - United Kingdom	GROUP FLIGHT
GFW	GFW Aviation - Australia	UNKNOWN
GGA	First Flying Squadron - United States	JAWJA
GGC	Cargo 360 - United States	LONG-HAUL
GGE	Gobierno De Guinea Ecuatorial - Equatorial Guinea	UNKNOWN
GGF	Georgian Cargo Airlines Africa - Senegal	GEORGIAN AFRICA
GGG	Air Cargo Georgia - Georgia	GEOCARGO
GGL	Aeronautica - Angola	GIRA GLOBO
GGN	Air Georgian - Canada	GEORGIAN
GGO	Avial - Georgia	AVIAL-GEORGIA
GGS	GATSA - Mexico	GATSA
GGV	Houston Jet Services - Austria	GREGG AIR
GGW	Heli Training Vallee - Italy	HELIVALLEE
GGZ	Global Georgian Airways - Georgia	GLOBAL GEORGIAN
GHA	Ghana Airways - Ghana	GHANA
GHB	Ghana International Airlines - Ghana	GHANA AIRLINES
GHI	GH Stansted Limited - United Kingdom	UNKNOWN
GHL	Aviance - United Kingdom	HANDLING
GHM	Aero Service Bolivia - BO	UNKNOWN
GHN	Air Ghana - Ghana	AIR GHANA
GHP	Colvin Aviation - United States	GRASSHOPPER EX
GHS	Gatari Hutama Air Services - Indonesia	GATARI
GHT	Ghadames Air Transport - Libya	UNKNOWN
GHV	Ground Handling Service de Mexico - Mexico	GROUND HANDLING
GHY	German Sky Airlines - Germany	GERMAN SKY
GIA	Garuda Indonesia - Indonesia	INDONESIA
GIB	GR-Avia - Guinea	GRAVIA
GIC	Compagnie de Bauxites de Guinee - Guinea	CEBEGE
GID	Sud Air Transport, S.A. - Guinea	SUD TRANSPORT
GIE	Guinee Inter Air - Guinea	GUINEE INTER
GIF	Guinee Airlines - Guinea	GUINEE AIRLINES
GIG	Gacela Air Cargo - Mexico	GACELA AIR
GIH	Union des Transports Africains de Guinee - Guinea	TRANSPORT AFRICAIN
GIJ	Guinea Airways - Guinea	GUINEA AIRWAYS
GIK	Seba Airlines - Guinea	SEBA
GIL	African International Transport - Guinea	AFRICAN TRANSPORT
GIM	Guinee Express Air - Guinee	GUINEE EPXRESS
GIN	Association de Recherche Et D'exploitation de Diamant Et de	AREDOR
GIO	Guinee Paramount Airlines S.A. - Guinea	GUIPAIR
GIP	Air Guinee Express - Guinea	FUTURE EXPRESS
GIQ	Guinee Paramount Airlines - Guinea	GUIPAR
GIR	Guinee Air Union, S.A. - Guinea	GUINEE UNION
GIS	Guinee Air Service - Guinea	GASS
GIT	Network Aviation Guinee - GN	UNKNOWN
GIU	Mano River Airlines - GN	MANO GUINEE
GIV	S.C.Grivco Air, S.A. - Romania	GRIVCO
GIW	Galex-Guinee - Guinea	GALEX-GUINEE
GIY	Probiz Guinee - Guinea	PROBIZ
GIZ	Africa Airlines - Guinea	AFRILENS
GJA	Globe Jet - Lebanon	UNKNOWN
GJB	Trans-Air-Link - United States	SKY TRUCK
GJH	Guinee Air Cargo - GN	GUINEE AIR
GJS	GoJet Airlines - United States	GATEWAY
GJT	Gestion Aerea Ajecutiva - Spain	BANJET
GKA	US Army Parachute Team - United States	GOLDEN KNIGHTS
GLA	Great Lakes Airlines - United States	LAKES AIR
GLB	Air Castle Corporation / Global Airways - United States	GLO-AIR
GLC	Global Aircargo - Bahrain	UNKNOWN
GLD	Golden Star Air Cargo - Sudan	GOLDEN STAR
GLE	Goliaf Air - Sao Tome and Principe	GOLIAF AIR
GLF	Gulfstream Aerospace - United States	GULFSTREAM TEST
GLG	Aerolineas Galapagos (Aerogal) - Ecuador	AEROGAL
GLJ	Global Jet Austria - Austria	GLOBAL AUSTRIA
GLL	Air Gemini - Angola	TWINS
